Month,Ozone
7-27-2022,25
7-30-2022,17
8-1-2022,21
8-3-2022,21
8-6-2022,15
8-8-2022,45
8-10-2022,44
8-13-2022,24
8-15-2022,24
8-17-2022,28
8-20-2022,9
8-22-2022,27
8-24-2022,24
8-27-2022,18
8-29-2022,36
8-31-2022,8
9-3-2022,27
9-5-2022,7
9-7-2022,16
9-10-2022,42
9-12-2022,14
9-14-2022,10
9-17-2022,25
9-19-2022,15
9-21-2022,33
9-24-2022,9
9-26-2022,20
9-28-2022,10
10-1-2022,21
10-3-2022,16
10-5-2022,30
10-8-2022,43
10-10-2022,6
10-12-2022,30
10-15-2022,37
10-17-2022,30
10-19-2022,8
10-22-2022,25
10-24-2022,23
10-26-2022,36
10-29-2022,31
10-31-2022,19
